# $Id: LIM-ASON-Rules.csv,v 1.3 2003/04/15 22:50:31 as5472 Exp $,,,,,,,,,
#Error Code,Error Text to match,LIM Error Tag,LIM Description,Origin,Severity,BusinessRule,ASON Error Text,LIM Error,Exception Type
#ADDR_ERR,SAG RECORD NOT FOUND,LIM-InvalidData-00734,Invalid Postal Code or require valid 1 alpha character SAGID.,ASON,1,0,Invalid Postal Code or require valid 1 alpha character SAGID.,ERR_LIM_ASON_POSTAL_CODE_OR_SAI_NOT_FOUND,Invalid Data
ADDR_ERR,SIADDR1 :STREET ADDR NOT FOUND,LIM-InvalidData-00734,Invalid Postal Code or require valid 1 alpha character SAGID.,ASON,1,0,Invalid Postal Code or require valid 1 alpha character SAGID.,ERR_LIM_ASON_POSTAL_CODE_OR_SAI_NOT_FOUND,Invalid Data
ADDR_ERR,Postal Code Missing,LIM-ObjectNotFound-00001,Neither an exact match or a close alternative was found. Postal Code is missing.,ASON,1,0,Neither an exact match or a close alternative was found. Postal Code is missing.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
ADDR_ERR,Descriptive not found,LIM-ObjectNotFound-00005,Service Address was not found for requested Descriptive Address.,ASON,1,0,Service Address was not found for requested Descriptive Address.,ERR_LIM_DESCRIPTIVE_ADDRESS_NOT_FOUND,Object Not Found
ADDR_ERR,null,LIM-ObjectNotFound-00001,Neither an exact match or a close alternative was found.,ASON,1,0,Neither an exact match or a close alternative was found. ,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
ADDR_PARSER,null,LIM-SystemFailure-00499,AddressHandler Exception: Unrecognized address format - ASON. ,ASON,1,0,AddressHandler Exception: Unrecognized address format - ASON. ,ERR_LIM_ASON_UNRECOGNIZED_ADDRESS_FORMAT,System Failure
EDIT_ERR,Postal Code,LIM-InvalidData-00476,Invalid Data: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aPostalCode<%TAG=ZIP%s>. Reason: Invalid Postal Code or require valid 1 alpha character SAGID.,ASON,1,0,Invalid Postal Code or require valid 1 alpha character SAGID.,ERR_LIM_INVALID_POSTAL_CODE_OR_SAGID,Invalid Data
ORACLE_ERR,DescAddress:Exhausted Resultset,LIM-ObjectNotFound-00001,Neither an exact match or a close alternative was found.,Oracle DB,1,0,Descriptive Address not found in table.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
ORACLE_ERR,DescAddress:DBConnection failed,LIM-SystemFailure-00500,SQL Exception in Descriptive Address Xref Table. ,Oracle DB,1,0,SQL Exception in Descriptive Address Xref Table.,ERR_LIM_ACCESS_DESCRIPTIVE_ADDRESS_TABLE,System Failure
ORACLE_ERR,DescAddress:SQLException,LIM-SystemFailure-00500,SQL Exception in Descriptive Address Xref Table. ,Oracle DB,1,0,SQL Exception in Descriptive Address Xref Table.,ERR_LIM_ACCESS_DESCRIPTIVE_ADDRESS_TABLE,System Failure
ORACLE_ERR,DescAddress:,LIM-SystemFailure-00500,SQL Exception in Descriptive Address Xref Table. ,Oracle DB,1,0,SQL Exception in Descriptive Address Xref Table.,ERR_LIM_ACCESS_DESCRIPTIVE_ADDRESS_TABLE,System Failure
ORACLE_ERR,Zip:Exhausted Resultset,LIM-ObjectNotFound-00004,Refer the request to the LSC for manual processing because of incomplete/invalid address data.,Oracle DB,1,0,Refer the request to the LSC for manual processing because of incomplete/invalid address data.,ERR_LIM_SERVICE_NOT_FOUND_INVALID_ADDRESS,Object Not Found
ORACLE_ERR,Zip:DBConnection failed,LIM-SystemFailure-00835,SQL Exception in ZC (Zip Code)  Table. ,Oracle DB,1,0,SQL Exception in ZC (Zip Code)  Table. ,ERR_LIM_ACCESS_ZIP_CODE_TABLE,System Failure
ORACLE_ERR,Zip:SQLException,LIM-SystemFailure-00835,SQL Exception in ZC (Zip Code)  Table. ,Oracle DB,1,0,SQL Exception in ZC (Zip Code)  Table. ,ERR_LIM_ACCESS_ZIP_CODE_TABLE,System Failure
ORACLE_ERR,Zip:,LIM-SystemFailure-00835,SQL Exception in ZC (Zip Code)  Table. ,Oracle DB,1,0,SQL Exception in ZC (Zip Code)  Table. ,ERR_LIM_ACCESS_ZIP_CODE_TABLE,System Failure
ORACLE_ERR,null,LIM-SystemFailure-00835,SQL Exception in ZC (Zip Code)  Table. ,Oracle DB,1,0,SQL Exception in ZC (Zip Code)  Table. ,ERR_LIM_ACCESS_ZIP_CODE_TABLE,System Failure
SVC_ERR,null,LIM-ObjectNotFound-00002,Service not found.,ASON,1,0,Service not found.,ERR_LIM_SERVICE_NOT_FOUND,Object Not Found
TIME_OUT,ASON time out,LIM-SystemFailure-00001,ASON time out,ASON,1,0,Host Timed Out,ERR_LIM_TIMEOUT,System Failure
TIME_OUT,ASONService Off-Line,LIM-BusinessViolation-00001,ASON down due to regularly scheduled maintenance.,ASON,1,0,ASON down due to regularly scheduled maintenance.,ERR_LIM_DOWN_FOR_SYS_MAINTENANCE,Business Violation
LIM_ERR,ASON,LIM-SystemFailure-00651,Host System Error. Code: <%TAG=CODE%s>  Description: <%TAG=MSG%s>.,ASON,1,0,ASONService System Exception.,ERR_LIM_ASONSERVICE,System Failure
LIM_ERR,MultiValid error,LIM-SystemFailure-00088,LIM Internal Error,ASON,1,0,LIM Internal Error,ERR_LIM_INTERNAL,System Failure
LIM_ERR,null,LIM-SystemFailure-00088,LIM Internal Error,ASON,1,0,LIM Internal Error,ERR_LIM_INTERNAL,System Failure
#SM Errors,,,,,,,,,
SM-DataNotFound-00236,null,LIM-DataNotFound-00737,SmClient DataNotFound exception while processing SM getServiceLocation operation. ,SM,1,0,SmClient DataNotFound exception while processing SM getServiceLocation operation. ,ERR_LIM_SMCLIENT_EXCEPTION_DATA_NOT_FOUND,Data Not Found
SM-DataNotFound-00681,null,LIM-DataNotFound-00737,SmClient DataNotFound exception while processing SM getServiceLocation operation. ,SM,1,0,SmClient DataNotFound exception while processing SM getServiceLocation operation. ,ERR_LIM_SMCLIENT_EXCEPTION_DATA_NOT_FOUND,Data Not Found
SM-InvalidData-00001,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00001,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-BusinessViolation-00001,null,LIM-BusinessViolation-00001,SM backend OSS is down due to regularly scheduled maintenance.,SM,1,0,SM backend OSS is down due to regularly scheduled maintenance.,ERR_LIM_DOWN_FOR_SYS_MAINTENANCE,Business Violation
SM-BusinessViolation-00002,null,LIM-SystemFailure-00738,SmClient BusinessViolation exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-BusinessViolation-00112,null,LIM-InvalidData-00113,Invalid Data. Reason:  TN is not in working status,SM,1,0,Invalid Data. Reason:  TN is not in working status,ERR_LIM_TN_NOT_WORKING,Invalid Data
SM-NotImplemented-00114,null,LIM-SystemFailure-00738,SmClient NotImplemented exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00115,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00116,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00117,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00207,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00234,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00237,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00238,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00247,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00248,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00249,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00250,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00251,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00383,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00384,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00385,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00386,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00387,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00388,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00624,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SM Communication failure with the CP01 Corba service.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00682,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00685,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SMCL-SystemFailure-00211,null,LIM-SystemFailure-00738,SmClient Context Factory SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient Context Factory SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SMCL-SystemFailure-00212,null,LIM-SystemFailure-00738,SmClient Naming SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient Naming SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SMCL-SystemFailure-00216,null,LIM-SystemFailure-00738,SmClient Remote SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient Remote SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SMCL-SystemFailure-00217,null,LIM-SystemFailure-00738,SmClient Create SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient Create SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-99999,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
#Default,,,,,,,,,
null,null,LIM-SystemFailure-00651,Host System Exception Not Defined in ASON Rules File.,ASON,1,0,Unexpected error code - Internal error.,ERR_LIM_ASONSERVICE,System Failure
