# $Id: LIM-BRMS-Rules.csv,v 1.3 2003/04/15 22:48:13 as5472 Exp $,,,,,,,,,,,,,
#Error Code,Error Text to match,LIM Error Tag,LIM Description,Origin,Severity,BusinessRule,BRMS Error Text,LIM Error,Exception Type,,,,
ADDR_ERR,NO MATCH ON COMMUNITY,LIM-SystemFailure-00832,Community returned from the Zip to Community Table is not found in BRMS. Community<%TAG=CITY%s>,BRMS,1,0,Community returned from the Zip to Community Table is not found in BRMS. Community,ERR_LIM_BRMS_COMMUNITY_NOT_FOUND,System Failure,,,,
ADDR_ERR,DATA TOO LARGE,LIM-BusinessViolation-00838,Address data is too large to be returned. Please limit search.,BRMS,1,0,Address data is too large to be returned. Please limit search.,ERR_LIM_BRMS_OUTPUT_LIMIT_EXCEED,Business Violation,,,,
ADDR_ERR,POSSIBLE PROBLEMS WITH SYSTEM,LIM-SystemFailure-00830 ,Possible problems with system. Please re-enter address data.,BRMS,1,0,Possible problems with system. Please re-enter address data.,ERR_LIM_CIWIN_BRMS_INTERFACE,System Failure,,,,
ADDR_ERR,NETWORK COMMUNICATION ERROR,LIM-SystemFailure-00833,Network Communication Error.  Contact MPS Hotline for Support.,BRMS,1,0,Host System Unable To Process Transaction,ERR_LIM_BRMS_NETWORK_COMMUNICATION,System Failure,,,,
ADDR_ERR,PROBLEM WITH DATABASE SERVER,LIM-SystemFailure-00831,Problem with Database Server. Contact MPS Hotline for Support.,BRMS,1,0,Problem with Database Server. Contact MPS Hotline for Support.,ERR_LIM_BRMS_DATABASE,System Failure,,,,
ADDR_ERR,A STREET IS REQUIRED WITH COMMUNITY,LIM-InvalidData-00445,Missing Data: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aStreetName.,BRMS,1,0,Missing street name.,ERR_LIM_MISSING_STREET_NAME,Invalid Data,,,,
ADDR_ERR,ENTRY IS RESERVED WORD,LIM-InvalidData-00435,Invalid Data: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aStreetName<%TAG=SANA%s>. Reason: Invalid Street Name.,BRMS,1,0,Invalid street name.,ERR_LIM_INVALID_STREET_NAME,Invalid Data,,,,
ADDR_ERR,Multiple Addresses,LIM-BusinessViolation-00747,Refer the Request to the LECC/LSC for manual processing because multiple addresses were found in the same community.,BRMS,1,0,Refer the Request to the LECC/LSC for manual processing because multiple addresses were found in the same community,ERR_LIM_BRMS_MULTIPLE_ADDRESSES_FOUND,Business Violation,,,,
ADDR_ERR,Multiple Wire,LIM-BusinessViolation-00748,Refer the Request to the LECC/LSC for manual processing due to multiple Wire Centers present for Service Address.,BRMS,1,0,Refer the Request to the LECC/LSC for manual processing due to multiple Wire Centers present for Service Address,ERR_LIM_BRMS_MULTIPLE_WIRE_CENTERS_FOUND,Business Violation,,,,
ADDR_ERR,Descriptive not found,LIM-ObjectNotFound-00005,Service Address was not found for requested Descriptive Address.,BRMS,1,0,Service Address was not found for requested Descriptive Address.,ERR_LIM_DESCRIPTIVE_ADDRESS_NOT_FOUND,Object Not Found,,,,
ADDR_ERR,Outside territory,LIM-BusinessViolation-00003,Address found but not within territory.,BRMS,1,0,"Address found, but not within territory.",ERR_LIM_OUTSIDE_TERRITORY,Business Violation,,,,
ADDR_ERR,Unrecognized service address,LIM-BusinessViolation-01064,Refer the request to the LECC/LSC for manual processing due to unrecognized service address found  ,BRMS,1,0,Unrecognized service address found.,ERR_LIM_UNRECOGNIZED_SERVICE_ADDRESS,Business Violation,,,,
ADDR_ERR,null,LIM-ObjectNotFound-00001,Neither an exact match or a close alternative was found.,BRMS,1,0,Neither an exact match or a close alternative was found.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found,,,,
ADDR_PARSER,Address format,LIM-SystemFailure-00745,AddressHandler Exception: Unrecognized address format - BRMS. Description: <%TAG=ERR%s>,BRMS,1,0,AddressHandler Exception: Unrecognized address format - BRMS. ,ERR_LIM_BRMS_UNRECOGNIZED_ADDRESS_FORMAT,System Failure,,,,
SVC_ERR,SM incomplete address,LIM-ObjectNotFound-00840,Unable to perform service validation inquiry due to imcomplete address data returned from the Customer Service Record.,BRMS,1,0,Unable to perform service validation inquiry due to imcomplete address data returned from the Customer Service Record.,ERR_LIM_SM_INCOMPLETE_ADDRESS_FOUND,Object Not Found
SVC_ERR,null,LIM-ObjectNotFound-00002,Service not found.,BRMS,1,0,Service not found,ERR_LIM_SERVICE_NOT_FOUND,Object Not Found
EDIT_ERR,Invalid Zip,LIM-InvalidData-00841,InvalidData: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aPostalCode<%TAG=ZIP%s>. Reason: Zip Code is not found in the Zip/Community table.,BRMS,1,0,Invalid Field: ZIP,ERR_LIM_BRMS_INVALID_ZIP_CODE,Invalid Data
EDIT_ERR,Invalid Postal Code,LIM-InvalidData-00434,Invalid Data: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aPostalCode<%TAG=ZIP%s>. Reason: Invalid Postal Code. Zip Code is not found in the ZC (Zip Code) Table,BRMS,1,0,Invalid Field: ZIP,ERR_LIM_INVALID_POSTAL_CODE,Invalid Data
EDIT_ERR,Invalid Descriptive Address,LIM-ObjectNotFound-00001,Neither an exact match or a close alternative was found.,BRMS,1,0,Neither an exact match or a close alternative was found.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
EDIT_ERR,Invalid AHN,LIM-InvalidData-00746,Invalid Data: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aAssignedHouseNumber<%TAG=AHN%s>. Reason: Invalid Assigned House Number.,BRMS,1,0,Invalid Assigned House Number.,ERR_LIM_BRMS_INVALID_ASSIGNED_HOUSE_NUMBER,Invalid Data
EDIT_ERR,Missing HN or AHN,LIM-InvalidData-00750,Missing Data: <%TAG=CLASS%s>:aAddress.aFieldedAddress.aHouseNumber<%TAG=HN%s> and aAddress.aFieldedAddress.aAssignedHouseNumber<%TAG=AHN%s>. Reason: Missing Data in House Number or Assigned House Number,BRMS,1,0,Missing house number or assigned house number.,ERR_LIM_BRMS_MISSING_HOUSE_NUMBER_OR_ASSIGNED_HOUSE_NUMBER ,Invalid Data
ORACLE_ERR,Zip:Exhausted Resultset,LIM-ObjectNotFound-00004,Refer the request to the LSC for manual processing because of incomplete/invalid address data.,BRMS,1,0,Refer the request to the LSC for manual processing because of incomplete/invalid address data.,ERR_LIM_SERVICE_NOT_FOUND_INVALID_ADDRESS,Object Not Found
ORACLE_ERR,Zip:DBConnection failed,LIM-SystemFailure-00835,SQL Exception in ZC (Zip Code)  Table. ,BRMS,1,0,SQL Exception in ZC (Zip Code)  Table. ,ERR_LIM_ACCESS_ZIP_CODE_TABLE,System Failure
ORACLE_ERR,Zip:SQLException,LIM-SystemFailure-00835,SQL Exception in ZC (Zip Code)  Table. ,BRMS,1,0,SQL Exception in ZC (Zip Code)  Table. ,ERR_LIM_ACCESS_ZIP_CODE_TABLE,System Failure
ORACLE_ERR,Zip:,LIM-SystemFailure-00835,SQL Exception in ZC (Zip Code)  Table. ,BRMS,1,0,SQL Exception in ZC (Zip Code)  Table. ,ERR_LIM_ACCESS_ZIP_CODE_TABLE,System Failure
ORACLE_ERR,LFACS  SAG Table,LIM-SystemFailure-00744,SQL Exception in LFACS SAG Living Unit Table. ,BRMS,1,0,SQL Exception in LFACS SAG Living Unit Table. ,ERR_LIM_ACCESS_LFACS_SAG_LIVING_UNIT_TABLE,System Failure
ORACLE_ERR,SagLfacsWc:Exhausted Resultset,LIM-SystemFailure-00749,SAG Wire Center is not found in LFACS Wire Center conversion table. SAG Wirecenter <%TAG=WIREEXCH%s>,BRMS,1,0,SAG Wire Center is not found in LFACS Wire Center conversion table. ,ERR_LIM_BRMS_WIRE_EXCHANGE_NOT_AVAILABLE,System Failure
ORACLE_ERR,SagLfacsWc,LIM-SystemFailure-00743,SQL Exception in SAG LFACS Wirecenter Table.,BRMS,1,0,SQL Exception in SAG LFACS Wirecenter Table.,ERR_LIM_ACCESS_SAG_LFACS_WIRECENTER_TABLE,System Failure
ORACLE_ERR,ZIP COMMUNITY Table,LIM-SystemFailure-00742,SQL Exception in ZIP Community Table. ,BRMS,1,0,SQL Exception in ZIP Community Table. ,ERR_LIM_ACCESS_ZIP_COMMUNITY_TABLE,System Failure
ORACLE_ERR,null,LIM-SystemFailure-00743,SQL Exception in SAG LFACS Wirecenter Table.,BRMS,1,0,SQL Exception in SAG LFACS Wirecenter Table.,ERR_LIM_ACCESS_SAG_LFACS_WIRECENTER_TABLE,System Failure
LIM_ERR,L400-050,LIM-SystemFailure-00834,Address is not found due to out of sync data in LFACS_SAG_LU Dataset and LFACS Application.,BRMS,1,0,Address is not found due to out of sync data in LFACS_SAG_LU Dataset and LFACS Application,ERR_LIM_LFACS_ADDRESS_NOT_FOUND,System Failure
LIM_ERR,FACS007I,LIM-BusinessViolation-00001,Host down due to regularly scheduled maintenance.,BRMS,1,0,FacilityAssignment down due to regularly scheduled maintenance.,ERR_LIM_DOWN_FOR_SYS_MAINTENANCE,
LIM_ERR,FacilityAssignment,LIM-SystemFailure-00751,Host System Error. Code: <%TAG=CODE%s>  Description: <%TAG=MSG%s>.,BRMS,1,0,Host System Unable To Process Transaction,ERR_LIM_FACILITYASSIGNMENTS,System Failure
LIM_ERR,NETWORK COMMUNICATION ERROR,LIM-BusinessViolation-00001,Host down due to regularly scheduled maintenance.,BRMS,1,0,SAG01F (CIWIN) down due to regularly scheduled maintenance.,ERR_LIM_DOWN_FOR_SYS_MAINTENANCE,Business Violation
LIM_ERR,SAG01F,LIM-SystemFailure-00836,Host System Error. Code: <%TAG=CODE%s>  Description: <%TAG=MSG%s>.,BRMS,1,0,SAG01F System Exception.,ERR_LIM_SAG01F,System Failure
LIM_ERR,SAGType record,LIM-SystemFailure-00088,Unable to retrieve SAGType record from sagAddrList.,BRMS,1,0,Unable to retrieve SAGType record from sagAddrList,ERR_LIM_INTERNAL,System Failure
LIM_ERR,null,LIM-SystemFailure-00088,BRMS Host System Exception,BRMS,1,0,Host System Unable To Process Transaction,ERR_LIM_SYSTEM_FAILURE,System Failure
TIME_OUT,SAG01F time out,LIM-SystemFailure-00001,Host System SAG01F Time out,BRMS,1,0,BRMS,ERR_LIM_TIMEOUT,System Failure
TIME_OUT,FACILITYASSIGNMENT time out,LIM-SystemFailure-00001,Host System FacilityAssignment Time out,BRMS,1,0,BRMS,ERR_LIM_TIMEOUT,System Failure
TIME_OUT,HOST time out,LIM-SystemFailure-00001,Host System Time out,BRMS,1,0,BRMS,ERR_LIM_TIMEOUT,System Failure
#SM Errors,,,,,,,,,
SM-DataNotFound-00236,null,LIM-DataNotFound-00737,SmClient DataNotFound exception while processing SM getServiceLocation operation. ,SM,1,0,SmClient DataNotFound exception while processing SM getServiceLocation operation. ,ERR_LIM_SMCLIENT_EXCEPTION_DATA_NOT_FOUND,Data Not Found
SM-DataNotFound-00681,null,LIM-DataNotFound-00737,SmClient DataNotFound exception while processing SM getServiceLocation operation. ,SM,1,0,SmClient DataNotFound exception while processing SM getServiceLocation operation. ,ERR_LIM_SMCLIENT_EXCEPTION_DATA_NOT_FOUND,Data Not Found
SM-InvalidData-00001,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00001,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-BusinessViolation-00001,null,LIM-BusinessViolation-00001,SM backend OSS is down due to regularly scheduled maintenance.,SM,1,0,SM backend OSS is down due to regularly scheduled maintenance.,ERR_LIM_DOWN_FOR_SYS_MAINTENANCE,Business Violation
SM-BusinessViolation-00002,null,LIM-SystemFailure-00738,SmClient BusinessViolation exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-BusinessViolation-00112,null,LIM-InvalidData-00113,Invalid Data. Reason:  TN is not in working status,SM,1,0,Invalid Data. Reason:  TN is not in working status,ERR_LIM_TN_NOT_WORKING,Invalid Data
SM-NotImplemented-00114,null,LIM-SystemFailure-00738,SmClient NotImplemented exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00115,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00116,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00117,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00207,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00234,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00237,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00238,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00247,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00248,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00249,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00250,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00251,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00383,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00384,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00385,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00386,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00387,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00388,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00624,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SM Communication failure with the CP01 Corba service.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00682,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00685,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SMCL-SystemFailure-00211,null,LIM-SystemFailure-00738,SmClient Context Factory SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient Context Factory SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SMCL-SystemFailure-00212,null,LIM-SystemFailure-00738,SmClient Naming SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient Naming SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SMCL-SystemFailure-00216,null,LIM-SystemFailure-00738,SmClient Remote SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient Remote SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SMCL-SystemFailure-00217,null,LIM-SystemFailure-00738,SmClient Create SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient Create SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-99999,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
#Default,,,,,,,,,
null,null,LIM-SystemFailure-00836,Host System Exception Not Defined in BRMS Rules File,BRMS,1,0,Unexpected error code - Internal error.,ERR_LIM_SAG01F,System Failure
